model,question_id,scenario,benchmark,score
gpt-5,670dc5bf47457fb431224bbc,hle,validate_csv,1
openai/o3-mini-2025-01-31,670dc75dcfd3fc87a109a929,hle,validate_csv,1
qwen3-235b-a22b,670dc5bf47457fb431224bbc,hle,validate_csv,1
qwen3-14b,670dc75dcfd3fc87a109a929,hle,validate_csv,0
gpt-4.1,670dc5bf47457fb431224bbc,hle,validate_csv,0
gpt-5.2,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen3-max,670dc75dcfd3fc87a109a929,hle,validate_csv,0
gpt-4.1,670dc75dcfd3fc87a109a929,hle,validate_csv,1
openai/o3-mini-2025-01-31,670dc5bf47457fb431224bbc,hle,validate_csv,0
gemini-2.5-flash,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670dc75dcfd3fc87a109a929,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670dc75dcfd3fc87a109a929,hle,validate_csv,1
gemini-2.5-pro-nothinking,670dbfc042e55f85b247ba49,hle,validate_csv,0
qwen3-max,670dbfc042e55f85b247ba49,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670dc5bf47457fb431224bbc,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670dc5bf47457fb431224bbc,hle,validate_csv,0
gpt-5,670df2e172288739ca35e0e1,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670dc5bf47457fb431224bbc,hle,validate_csv,0
gemini-2.5-pro-nothinking,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen3.5-plus,670dc75dcfd3fc87a109a929,hle,validate_csv,1
openai/o3-mini-2025-01-31,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-235b-a22b,670dc75dcfd3fc87a109a929,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen3-4b,670df2e172288739ca35e0e1,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670df2e172288739ca35e0e1,hle,validate_csv,0
gpt-5.2,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-8b,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen3-32b,670dc75dcfd3fc87a109a929,hle,validate_csv,0
gemini-3.1-flash-lite-preview,670df2e172288739ca35e0e1,hle,validate_csv,0
gemini-2.5-pro-nothinking,670df2e172288739ca35e0e1,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670df2e172288739ca35e0e1,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670df2e172288739ca35e0e1,hle,validate_csv,0
gpt-4.1,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-14b,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,670dc75dcfd3fc87a109a929,hle,validate_csv,0
qwen3-32b,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-30b-a3b,670df2e172288739ca35e0e1,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-8b,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3.5-plus,670df2e172288739ca35e0e1,hle,validate_csv,1
qwen3-14b,670ca1456731aa001b9ba021,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670dbfc042e55f85b247ba49,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-max,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670df2e172288739ca35e0e1,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670e00c1289a73b5d2b75215,hle,validate_csv,0
gpt-5.2,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670dc75dcfd3fc87a109a929,hle,validate_csv,0
gpt-5.2,670ca1456731aa001b9ba021,hle,validate_csv,1
qwen3-max,670df2e172288739ca35e0e1,hle,validate_csv,0
gemini-2.5-flash,670df2e172288739ca35e0e1,hle,validate_csv,0
qwen3-4b,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-30b-a3b,670c47e5a1a7d61748daa200,hle,validate_csv,0
qwen3-30b-a3b,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,670e00c1289a73b5d2b75215,hle,validate_csv,0
gemini-2.5-pro-nothinking,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-32b,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3.5-plus,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-8b,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-14b,670e00c1289a73b5d2b75215,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670e00c1289a73b5d2b75215,hle,validate_csv,1
gemini-3.1-flash-lite-preview,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-235b-a22b,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670e00c1289a73b5d2b75215,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670e00c1289a73b5d2b75215,hle,validate_csv,0
gpt-5,670dc75dcfd3fc87a109a929,hle,validate_csv,0
openai/o3-mini-2025-01-31,670ca1456731aa001b9ba021,hle,validate_csv,0
gemini-2.5-flash,670e00c1289a73b5d2b75215,hle,validate_csv,0
qwen3-14b,670c47e5a1a7d61748daa200,hle,validate_csv,0
qwen3-4b,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
gpt-4.1,670e00c1289a73b5d2b75215,hle,validate_csv,0
gemini-3.1-flash-lite-preview,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen3-30b-a3b,670f511063b765ce8edde772,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670f511063b765ce8edde772,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670f511063b765ce8edde772,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670f511063b765ce8edde772,hle,validate_csv,0
gemini-3.1-flash-lite-preview,670f511063b765ce8edde772,hle,validate_csv,0
qwen3-14b,670eb27fd2f45b1198c87766,hle,validate_csv,0
gemini-2.5-pro-nothinking,670f511063b765ce8edde772,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
openai/o3-mini-2025-01-31,670f511063b765ce8edde772,hle,validate_csv,1
qwen3-30b-a3b,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen3-8b,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen3-4b,670f511063b765ce8edde772,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,670eb27fd2f45b1198c87766,hle,validate_csv,0
gpt-4.1,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
gpt-5.2,670f511063b765ce8edde772,hle,validate_csv,0
qwen3-32b,670eb27fd2f45b1198c87766,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670eb27fd2f45b1198c87766,hle,validate_csv,0
gpt-5.2,670eb27fd2f45b1198c87766,hle,validate_csv,0
qwen3-8b,670eb27fd2f45b1198c87766,hle,validate_csv,0
qwen3-14b,670f511063b765ce8edde772,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670f511063b765ce8edde772,hle,validate_csv,1
qwen3-max,670f511063b765ce8edde772,hle,validate_csv,1
gemini-2.5-flash,670f511063b765ce8edde772,hle,validate_csv,1
qwen3-4b,670eb27fd2f45b1198c87766,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,670f511063b765ce8edde772,hle,validate_csv,0
qwen3.5-plus,670f511063b765ce8edde772,hle,validate_csv,1
openai/o3-mini-2025-01-31,670eb27fd2f45b1198c87766,hle,validate_csv,0
gpt-4.1,670f511063b765ce8edde772,hle,validate_csv,0
qwen3-8b,670f511063b765ce8edde772,hle,validate_csv,0
qwen3-14b,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen3-32b,670f511063b765ce8edde772,hle,validate_csv,0
gpt-5,670f511063b765ce8edde772,hle,validate_csv,0
gemini-2.5-flash,670eb27fd2f45b1198c87766,hle,validate_csv,1
qwen/qwen2.5-72b-instruct-turbo,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670eb27fd2f45b1198c87766,hle,validate_csv,0
qwen3-32b,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen3-235b-a22b,670f511063b765ce8edde772,hle,validate_csv,0
qwen3-235b-a22b,670eb27fd2f45b1198c87766,hle,validate_csv,1
gpt-4.1,670eb27fd2f45b1198c87766,hle,validate_csv,0
gpt-4.1,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670eb27fd2f45b1198c87766,hle,validate_csv,0
gpt-5.2,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-30b-a3b,670eb27fd2f45b1198c87766,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-8b,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-14b,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
openai/o3-mini-2025-01-31,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
gemini-3.1-flash-lite-preview,670eb27fd2f45b1198c87766,hle,validate_csv,1
qwen3-4b,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
gemini-3.1-flash-lite-preview,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
gemini-2.5-pro-nothinking,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-max,670eb27fd2f45b1198c87766,hle,validate_csv,1
qwen3-30b-a3b,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
openai/gpt-4o-2024-08-06,670eb27fd2f45b1198c87766,hle,validate_csv,1
gpt-5.2,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,1
openai/gpt-4o-2024-08-06,6711751e42ab43fd77c2507b,hle,validate_csv,0
openai/gpt-4o-2024-05-13,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
openai/o3-mini-2025-01-31,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,1
gemini-2.5-flash,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
gpt-5,670eb27fd2f45b1198c87766,hle,validate_csv,0
qwen3-30b-a3b,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3-235b-a22b,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3.5-plus,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-4b,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3-8b,6711751e42ab43fd77c2507b,hle,validate_csv,0
gemini-2.5-pro-nothinking,670eb27fd2f45b1198c87766,hle,validate_csv,1
qwen3-32b,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3-32b,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
gpt-5.2,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3-14b,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,670f511063b765ce8edde772,hle,validate_csv,0
gpt-5,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,1
qwen3-max,670fe86a7e294dc6ad20c1ba,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,6711751e42ab43fd77c2507b,hle,validate_csv,0
gpt-4.1,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3-4b,67120c351f4769bcbeaadd5a,hle,validate_csv,0
openai/gpt-4o-2024-05-13,6711751e42ab43fd77c2507b,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,1
gemini-3.1-flash-lite-preview,6711751e42ab43fd77c2507b,hle,validate_csv,0
gpt-5.2,67127dbf0d05bc73fc008e02,hle,validate_csv,0
openai/gpt-4o-2024-08-06,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gpt-5,6711751e42ab43fd77c2507b,hle,validate_csv,0
gpt-4.1,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen3-32b,67120c351f4769bcbeaadd5a,hle,validate_csv,0
openai/gpt-4o-2024-08-06,67127dbf0d05bc73fc008e02,hle,validate_csv,0
openai/gpt-4o-2024-05-13,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gemini-2.5-flash,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen3-max,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen3-30b-a3b,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,67127dbf0d05bc73fc008e02,hle,validate_csv,0
gemini-3.1-flash-lite-preview,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen3-8b,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen3-14b,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen3.5-plus,670eb27fd2f45b1198c87766,hle,validate_csv,1
gpt-5.2,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen3-max,67120c351f4769bcbeaadd5a,hle,validate_csv,0
qwen3.5-plus,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,1
qwen/qwen2.5-7b-instruct-turbo,6711751e42ab43fd77c2507b,hle,validate_csv,0
gpt-4.1,67120c351f4769bcbeaadd5a,hle,validate_csv,0
openai/o3-mini-2025-01-31,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gemini-2.5-pro-nothinking,67120c351f4769bcbeaadd5a,hle,validate_csv,1
qwen3-4b,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen3-30b-a3b,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen3-14b,67127dbf0d05bc73fc008e02,hle,validate_csv,0
gemini-2.5-flash,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gemini-3.1-flash-lite-preview,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,67120c351f4769bcbeaadd5a,hle,validate_csv,0
openai/gpt-4o-2024-05-13,67127dbf0d05bc73fc008e02,hle,validate_csv,0
gemini-2.5-pro-nothinking,67127dbf0d05bc73fc008e02,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gemini-2.5-flash,67127dbf0d05bc73fc008e02,hle,validate_csv,1
qwen3-8b,67127dbf0d05bc73fc008e02,hle,validate_csv,0
openai/o3-mini-2025-01-31,67127dbf0d05bc73fc008e02,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,670eb27fd2f45b1198c87766,hle,validate_csv,1
qwen3.5-plus,67127dbf0d05bc73fc008e02,hle,validate_csv,1
gemini-3.1-pro-preview-thinking-medium,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,67127dbf0d05bc73fc008e02,hle,validate_csv,1
gpt-5,67127dbf0d05bc73fc008e02,hle,validate_csv,0
gpt-5.2,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3-max,6711751e42ab43fd77c2507b,hle,validate_csv,0
qwen3.5-plus,6711751e42ab43fd77c2507b,hle,validate_csv,1
openai/o3-mini-2025-01-31,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,67127dbf0d05bc73fc008e02,hle,validate_csv,1
qwen3-8b,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3-32b,67129bdccb99523d3a2b98d4,hle,validate_csv,0
gemini-3.1-flash-lite-preview,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3-14b,67129bdccb99523d3a2b98d4,hle,validate_csv,0
gpt-5,67129bdccb99523d3a2b98d4,hle,validate_csv,1
qwen3.5-plus,67120c351f4769bcbeaadd5a,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,67129bdccb99523d3a2b98d4,hle,validate_csv,1
openai/gpt-4o-2024-08-06,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3.5-plus,67129bdccb99523d3a2b98d4,hle,validate_csv,1
qwen3-max,67129bdccb99523d3a2b98d4,hle,validate_csv,1
qwen/qwen2.5-72b-instruct-turbo,67129bdccb99523d3a2b98d4,hle,validate_csv,0
gemini-2.5-pro-nothinking,67129bdccb99523d3a2b98d4,hle,validate_csv,0
gpt-4.1,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,67129bdccb99523d3a2b98d4,hle,validate_csv,1
gemini-2.5-flash,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen3-30b-a3b,67129bdccb99523d3a2b98d4,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-max,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,1
qwen3-235b-a22b,67127dbf0d05bc73fc008e02,hle,validate_csv,1
gemini-2.5-pro-nothinking,670e9d6f5c8f745d79e8d8d1,hle,validate_csv,0
gemini-3.1-flash-lite-preview,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-14b,671323607fc02cf5cce975a5,hle,validate_csv,0
openai/gpt-4o-2024-08-06,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-4b,67129bdccb99523d3a2b98d4,hle,validate_csv,0
gpt-5.2,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-30b-a3b,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-32b,67127dbf0d05bc73fc008e02,hle,validate_csv,1
openai/o3-mini-2025-01-31,6711751e42ab43fd77c2507b,hle,validate_csv,1
qwen3-32b,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-8b,671323607fc02cf5cce975a5,hle,validate_csv,0
openai/gpt-4o-2024-05-13,67129bdccb99523d3a2b98d4,hle,validate_csv,0
gpt-5,6713cedd6978edcd74f82863,hle,validate_csv,1
gemini-2.5-flash,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3.5-plus,671323607fc02cf5cce975a5,hle,validate_csv,0
openai/gpt-4o-2024-08-06,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-30b-a3b,6713cedd6978edcd74f82863,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,6713cedd6978edcd74f82863,hle,validate_csv,1
gpt-4.1,671323607fc02cf5cce975a5,hle,validate_csv,0
openai/gpt-4o-2024-05-13,671323607fc02cf5cce975a5,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,671323607fc02cf5cce975a5,hle,validate_csv,0
gpt-4.1,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-4b,671323607fc02cf5cce975a5,hle,validate_csv,0
openai/gpt-4o-2024-05-13,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-235b-a22b,6713cedd6978edcd74f82863,hle,validate_csv,0
openai/o3-mini-2025-01-31,671323607fc02cf5cce975a5,hle,validate_csv,0
openai/o3-mini-2025-01-31,6713cedd6978edcd74f82863,hle,validate_csv,0
gemini-2.5-pro-nothinking,6713cedd6978edcd74f82863,hle,validate_csv,0
gemini-2.5-flash,6713cedd6978edcd74f82863,hle,validate_csv,0
gpt-5.2,6713cedd6978edcd74f82863,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,6711751e42ab43fd77c2507b,hle,validate_csv,1
qwen3-32b,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-14b,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3.5-plus,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-8b,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-max,6713cedd6978edcd74f82863,hle,validate_csv,0
gemini-3.1-flash-lite-preview,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-4b,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-32b,67151b015fc8ee8feaa3538c,hle,validate_csv,0
gemini-2.5-pro-nothinking,6711751e42ab43fd77c2507b,hle,validate_csv,1
openai/gpt-4o-2024-05-13,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,671323607fc02cf5cce975a5,hle,validate_csv,0
gpt-5.2,67151b015fc8ee8feaa3538c,hle,validate_csv,0
gemini-3.1-flash-lite-preview,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen3-max,671323607fc02cf5cce975a5,hle,validate_csv,0
qwen3-max,67151b015fc8ee8feaa3538c,hle,validate_csv,0
openai/gpt-4o-2024-08-06,67151b015fc8ee8feaa3538c,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,67151b015fc8ee8feaa3538c,hle,validate_csv,1
qwen3.5-plus,67151b015fc8ee8feaa3538c,hle,validate_csv,1
qwen3-8b,67151b015fc8ee8feaa3538c,hle,validate_csv,0
gemini-2.5-flash,67151b015fc8ee8feaa3538c,hle,validate_csv,0
openai/o3-mini-2025-01-31,67151b015fc8ee8feaa3538c,hle,validate_csv,0
gpt-4.1,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen3-30b-a3b,671590d09f939ab157188104,hle,validate_csv,0
qwen3-14b,67159ba681c3e7e7c65b2e09,hle,validate_csv,1
gemini-2.5-pro-nothinking,67151b015fc8ee8feaa3538c,hle,validate_csv,1
qwen/qwen2.5-72b-instruct-turbo,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,6713cedd6978edcd74f82863,hle,validate_csv,0
qwen3-max,671590d09f939ab157188104,hle,validate_csv,0
openai/gpt-4o-2024-05-13,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-32b,671590d09f939ab157188104,hle,validate_csv,0
qwen3-30b-a3b,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen3-235b-a22b,67151b015fc8ee8feaa3538c,hle,validate_csv,0
openai/gpt-4o-2024-05-13,671590d09f939ab157188104,hle,validate_csv,0
gemini-2.5-pro-nothinking,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-14b,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,67151b015fc8ee8feaa3538c,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
gemini-3.1-flash-lite-preview,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
gpt-4.1,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
gemini-2.5-pro-nothinking,671590d09f939ab157188104,hle,validate_csv,0
qwen3-8b,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-32b,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
gpt-5,67159ba681c3e7e7c65b2e09,hle,validate_csv,1
gemini-3.1-flash-lite-preview,671590d09f939ab157188104,hle,validate_csv,0
qwen3-30b-a3b,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-14b,671590d09f939ab157188104,hle,validate_csv,0
qwen3-4b,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,671590d09f939ab157188104,hle,validate_csv,0
openai/gpt-4o-2024-08-06,671590d09f939ab157188104,hle,validate_csv,0
qwen3-max,6716260eae3149088ed859b9,hle,validate_csv,0
qwen3.5-plus,671590d09f939ab157188104,hle,validate_csv,0
openai/gpt-4o-2024-05-13,6716260eae3149088ed859b9,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,67159ba681c3e7e7c65b2e09,hle,validate_csv,1
qwen3-235b-a22b,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
gpt-5.2,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
openai/gpt-4o-2024-08-06,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
openai/gpt-4o-2024-08-06,6716260eae3149088ed859b9,hle,validate_csv,0
gemini-2.5-flash,671590d09f939ab157188104,hle,validate_csv,0
qwen3.5-plus,67159ba681c3e7e7c65b2e09,hle,validate_csv,1
qwen3-8b,671590d09f939ab157188104,hle,validate_csv,0
qwen3-max,67159ba681c3e7e7c65b2e09,hle,validate_csv,1
openai/o3-mini-2025-01-31,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-4b,671590d09f939ab157188104,hle,validate_csv,0
qwen3-235b-a22b,671590d09f939ab157188104,hle,validate_csv,0
openai/o3-mini-2025-01-31,671590d09f939ab157188104,hle,validate_csv,0
gemini-2.5-flash,67159ba681c3e7e7c65b2e09,hle,validate_csv,0
qwen3-30b-a3b,6716260eae3149088ed859b9,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,6716260eae3149088ed859b9,hle,validate_csv,0
gpt-5,671590d09f939ab157188104,hle,validate_csv,0
gpt-5.2,6716260eae3149088ed859b9,hle,validate_csv,0
qwen3-4b,6716260eae3149088ed859b9,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,671590d09f939ab157188104,hle,validate_csv,0
qwen3.5-plus,6716260eae3149088ed859b9,hle,validate_csv,0
qwen3-32b,6716260eae3149088ed859b9,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,671590d09f939ab157188104,hle,validate_csv,0
gemini-3.1-flash-lite-preview,6716260eae3149088ed859b9,hle,validate_csv,0
gpt-4.1,6716260eae3149088ed859b9,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,671590d09f939ab157188104,hle,validate_csv,0
gemini-2.5-flash,6716260eae3149088ed859b9,hle,validate_csv,0
openai/o3-mini-2025-01-31,6716260eae3149088ed859b9,hle,validate_csv,0
gemini-2.5-pro-nothinking,6716260eae3149088ed859b9,hle,validate_csv,0
qwen3-8b,6716260eae3149088ed859b9,hle,validate_csv,0
qwen3-max,671683479e5d26a2905120dc,hle,validate_csv,0
qwen3-14b,6716260eae3149088ed859b9,hle,validate_csv,0
